[Strings]
nth  paddr      vaddr      len size section type    string
277  0x00052a54 0x0809aa54 29  30   .rodata ascii   OSF00010105// ISO-10646/UCS4/
278  0x00052a72 0x0809aa72 29  30   .rodata ascii   OSF00010106// ISO-10646/UCS4/
279  0x00052a90 0x0809aa90 18  19   .rodata ascii   WCHAR_T// INTERNAL
280  0x00052aa3 0x0809aaa3 22  23   .rodata ascii   UTF8// ISO-10646/UTF8/
281  0x00052aba 0x0809aaba 23  24   .rodata ascii   UTF-8// ISO-10646/UTF8/
282  0x00052ad2 0x0809aad2 28  29   .rodata ascii   ISO-IR-193// ISO-10646/UTF8/
283  0x00052aef 0x0809aaef 29  30   .rodata ascii   OSF05010001// ISO-10646/UTF8/
284  0x00052b0d 0x0809ab0d 22  23   .rodata ascii   UCS2// ISO-10646/UCS2/
285  0x00052b24 0x0809ab24 23  24   .rodata ascii   UCS-2// ISO-10646/UCS2/
286  0x00052b3c 0x0809ab3c 29  30   .rodata ascii   OSF00010100// ISO-10646/UCS2/
287  0x00052b5a 0x0809ab5a 29  30   .rodata ascii   OSF00010101// ISO-10646/UCS2/
288  0x00052b78 0x0809ab78 29  30   .rodata ascii   OSF00010102// ISO-10646/UCS2/
289  0x00052b96 0x0809ab96 28  29   .rodata ascii   ANSI_X3.4// ANSI_X3.4-1968//
290  0x00052bb3 0x0809abb3 27  28   .rodata ascii   ISO-IR-6// ANSI_X3.4-1968//
291  0x00052bcf 0x0809abcf 28  29   .rodata ascii   ISO646-US// ANSI_X3.4-1968//
292  0x00052bec 0x0809abec 27  28   .rodata ascii   US-ASCII// ANSI_X3.4-1968//
293  0x00052c08 0x0809ac08 25  26   .rodata ascii   IBM367// ANSI_X3.4-1968//
294  0x00052c22 0x0809ac22 24  25   .rodata ascii   CP367// ANSI_X3.4-1968//
295  0x00052c3b 0x0809ac3b 26  27   .rodata ascii   CSASCII// ANSI_X3.4-1968//
296  0x00052c56 0x0809ac56 25  26   .rodata ascii   UCS-2LE// ISO-10646/UCS2/
297  0x00052c70 0x0809ac70 22  23   .rodata ascii   UCS-2BE// UNICODEBIG//
298  0x00052c87 0x0809ac87 15  16   .rodata ascii   =INTERNAL->ucs4
299  0x00052c97 0x0809ac97 15  16   .rodata ascii   =ucs4->INTERNAL
300  0x00052ca7 0x0809aca7 9   10   .rodata ascii   UCS-4LE//
301  0x00052cb1 0x0809acb1 17  18   .rodata ascii   =INTERNAL->ucs4le
302  0x00052cc3 0x0809acc3 17  18   .rodata ascii   =ucs4le->INTERNAL
303  0x00052cd5 0x0809acd5 15  16   .rodata ascii   =INTERNAL->utf8
304  0x00052ce5 0x0809ace5 15  16   .rodata ascii   =utf8->INTERNAL
305  0x00052cf5 0x0809acf5 15  16   .rodata ascii   =ucs2->INTERNAL
306  0x00052d05 0x0809ad05 15  16   .rodata ascii   =INTERNAL->ucs2
307  0x00052d15 0x0809ad15 16  17   .rodata ascii   =ascii->INTERNAL
308  0x00052d26 0x0809ad26 16  17   .rodata ascii   =INTERNAL->ascii
309  0x00052d37 0x0809ad37 22  23   .rodata ascii   =ucs2reverse->INTERNAL
310  0x00052d4e 0x0809ad4e 22  23   .rodata ascii   =INTERNAL->ucs2reverse
311  0x00052d65 0x0809ad65 18  19   .rodata ascii   cwd != ((void *)0)
312  0x00052d78 0x0809ad78 12  13   .rodata ascii   gconv_conf.c
313  0x00052d85 0x0809ad85 19  20   .rodata ascii   elem != ((void *)0)
314  0x00052d99 0x0809ad99 6   7    .rodata ascii   module
315  0x00052da0 0x0809ada0 5   6    .rodata ascii   alias
316  0x00052da8 0x0809ada8 30  31   .rodata ascii   10646-1:1993// ISO-10646/UCS4/
317  0x00052dc8 0x0809adc8 34  35   .rodata ascii   10646-1:1993/UCS4/ ISO-10646/UCS4/
318  0x00052dec 0x0809adec 32  33   .rodata ascii   ISO-10646/UTF-8/ ISO-10646/UTF8/
319  0x00052e10 0x0809ae10 33  34   .rodata ascii   ANSI_X3.4-1986// ANSI_X3.4-1968//
320  0x00052e34 0x0809ae34 35  36   .rodata ascii   ISO_646.IRV:1991// ANSI_X3.4-1968//
321  0x00052e58 0x0809ae58 30  31   .rodata ascii   OSF00010020// ANSI_X3.4-1968//
322  0x00052e78 0x0809ae78 31  32   .rodata ascii   UNICODELITTLE// ISO-10646/UCS2/
323  0x00052e98 0x0809ae98 13  14   .rodata ascii   gconv-modules
324  0x00052eaa 0x0809aeaa 14  15   .rodata ascii   /usr/lib/gconv
325  0x00052eb9 0x0809aeb9 16  17   .rodata ascii   __gconv_get_path
326  0x00052eca 0x0809aeca 15  16   .rodata ascii   gconv_builtin.c
327  0x00052eda 0x0809aeda 25  26   .rodata ascii   __gconv_get_builtin_trans
328  0x00052ef4 0x0809aef4 36  37   .rodata ascii   cnt < sizeof (map) / sizeof (map[0])
329  0x00052f20 0x0809af20 31  32   .rodata ascii   __gconv_transform_internal_ucs4
330  0x00052f40 0x0809af40 31  32   .rodata ascii   __gconv_transform_ucs4_internal
331  0x00052f60 0x0809af60 33  34   .rodata ascii   __gconv_transform_internal_ucs4le
332  0x00052fa0 0x0809afa0 33  34   .rodata ascii   __gconv_transform_ucs4le_internal
333  0x00052fc2 0x0809afc2 20  21   .rodata ascii   ucs4le_internal_loop
334  0x00052fe0 0x0809afe0 32  33   .rodata ascii   __gconv_transform_ascii_internal
335  0x00053020 0x0809b020 32  33   .rodata ascii   __gconv_transform_internal_ascii
